turn_idx_global,file,prune_strategy,n_root_moves,pruned_root,tree_roots,original_move,original_coord,new_move,new_coord,move_changed,new_move_was_in_remaining_roots
10,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,4","1,3|0,4|2,4|1,6|2,5|3,6|0,3|1,2|3,4|0,5|2,3",m 0 4,"0,4",m 0 4,"0,4",0,0
11,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,6","3,4|0,3|2,5|0,5|1,3|1,6|0,6|3,3",m 0 6,"0,6",m 0 6,"0,6",0,0
12,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"2,5","0,3|0,7|1,6|3,4|2,3|2,5|0,2|2,6|3,5",m 2 5,"2,5",m 2 5,"2,5",0,0
13,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,3","3,5|2,3|3,4|0,7|1,6|2,6|0,3|3,7|3,3|0,0|1,3",m 0 3,"0,3",m 0 3,"0,3",0,0
14,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"1,3","0,7|3,4|3,7|2,6|0,2|0,8|1,3|2,3",m 1 3,"1,3",m 1 3,"1,3",0,0
15,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"2,3","3,3|3,7|2,3|1,2|0,2|2,2|0,7|1,6|2,6",m 2 3,"2,3",m 2 3,"2,3",0,0
16,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"2,4","2,4|1,3|1,5|0,4|0,3|0,5",m 2 4,"2,4",m 1 3,"1,3",1,1
17,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"1,3","2,3|3,4|3,5|0,4|2,5|1,6|1,3|0,3|0,5|3,2|0,2",m 1 3,"1,3",m 1 3,"1,3",0,0
18,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"2,5","0,4|3,4|0,3|2,3|0,5|0,2|2,5|1,6",m 2 5,"2,5",m 2 5,"2,5",0,0
19,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"1,7","2,3|2,6|1,7",m 1 7,"1,7",m 1 7,"1,7",0,0
20,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"3,2","2,6|3,2|3,4|3,6|0,7|1,8|0,5",m 3 2,"3,2",m 3 2,"3,2",0,0
21,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,12,"0,4","0,4|3,7|0,5|3,6|0,6|1,8|2,7|0,7|3,3|3,1|0,3|2,2",m 0 4,"0,4",m 0 4,"0,4",0,0
22,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"0,6","0,6|2,2|3,7|2,7|3,1",m 0 6,"0,6",m 0 6,"0,6",0,0
23,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"0,5","3,3|3,7|0,5|2,2|1,8|2,7",m 0 5,"0,5",m 0 5,"0,5",0,0
24,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"0,4","0,4|1,3|1,5|0,5|0,3|3,5|2,4",m 0 4,"0,4",m 0 4,"0,4",0,0
25,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,3","0,3|1,3|1,6|2,5|0,5|2,4|3,4|2,2",m 1 3,"1,3",m 1 3,"1,3",0,0
26,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"1,7","1,7|1,8|1,2|2,3|2,2",m 1 7,"1,7",m 1 7,"1,7",0,0
27,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"2,5","0,3|2,5|0,5|1,8|2,7|3,6|2,3|2,4|3,4|1,2",m 2 5,"2,5",m 2 5,"2,5",0,0
28,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"0,5","2,4|0,5|3,2|3,4|0,3|2,1",m 0 5,"0,5",m 0 5,"0,5",0,0
29,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"0,3","2,0|2,4|3,5|1,8|0,3|0,6|1,2|1,0|2,6|3,4|3,3",m 0 3,"0,3",m 0 3,"0,3",0,0
30,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","1,4|2,4|0,4",m 1 4,"1,4",m 1 4,"1,4",0,0
31,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,4","2,4|2,3|2,5|1,5|3,4|0,3|1,3",m 2 4,"2,4",m 2 4,"2,4",0,0
32,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,2","3,4|1,5|2,5|2,3|2,2|3,1|3,2",m 2 2,"2,2",m 2 2,"2,2",0,0
34,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"3,3","3,3|2,1|2,5|3,2|3,5|1,5",m 3 3,"3,3",m 3 3,"3,3",0,0
35,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,12,"0,5","0,1|0,5|3,2|3,5|2,5|1,5|1,2|1,1|0,0|0,6|3,3|2,4",m 0 5,"0,5",m 0 5,"0,5",0,0
36,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,5","0,3|0,5|2,4|1,5|2,3|3,4|2,5|1,3",m 0 5,"0,5",m 0 5,"0,5",0,0
37,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"2,5","0,6|1,5|2,4|2,5|1,3|3,6",m 2 5,"2,5",m 2 5,"2,5",0,0
38,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,6","0,6|1,6|0,3|0,2|3,5|2,6|2,4|1,3|0,7|3,6|3,4",m 0 6,"0,6",m 0 6,"0,6",0,0
39,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"1,6","1,6|3,6|3,5|1,3|0,8|2,6|2,4|1,7|3,4",m 1 6,"1,6",m 1 6,"1,6",0,0
40,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,2,"1,2","2,7|1,2",m 1 2,"1,2",m 1 2,"1,2",0,0
41,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"3,3","3,3|2,7|2,4|3,4|3,5|0,8|1,7|2,6",m 3 3,"3,3",m 3 3,"3,3",0,0
42,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,6","2,6|3,6|2,7|3,4|1,7|3,5|0,8",m 2 6,"2,6",m 2 6,"2,6",0,0
43,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,13,"2,7","0,8|0,2|0,1|0,0|1,0|1,7|2,7|3,4|3,5|3,8|2,2|3,7|2,8",m 2 7,"2,7",m 2 7,"2,7",0,0
44,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"2,4","2,4|3,3|3,5|1,4|0,3|0,5|0,4|2,3",m 2 4,"2,4",m 2 4,"2,4",0,0
45,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"2,3","2,3|2,5|1,5|1,4|0,4|3,5|3,2|2,2|0,3|1,3",m 2 3,"2,3",m 2 3,"2,3",0,0
46,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"3,2","3,2|3,6|2,5|2,2|1,3|1,4",m 3 2,"3,2",m 3 2,"3,2",0,0
47,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"0,4","2,4|3,3|3,5|0,4|1,4|2,3|0,5|0,3",m 0 4,"0,4",m 0 4,"0,4",0,0
48,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,4","1,4|0,3|0,5|1,3|1,5|2,3|2,5|3,3",m 1 4,"1,4",m 1 4,"1,4",0,0
49,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"1,6","2,3|2,6|1,6|0,7|0,5|3,5|1,5|0,3|3,3",m 1 6,"1,6",m 1 6,"1,6",0,0
50,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,5","2,6|3,6|0,5|0,6|2,3|2,7|1,5|1,3",m 1 5,"1,5",m 1 5,"1,5",0,0
51,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"1,7","1,3|1,7|2,6",m 1 7,"1,7",m 1 7,"1,7",0,0
52,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
53,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"1,5","0,4|1,3|1,5|3,4|0,3|0,5|3,3|3,5|2,3|2,5",m 1 5,"1,5",m 1 5,"1,5",0,0
54,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"1,6","1,3|1,6|0,4|2,3|2,6|0,5|3,4|0,3",m 1 6,"1,6",m 1 6,"1,6",0,0
55,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,2,"1,4","1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
56,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"1,3","1,3|1,6|0,4|2,4|0,3|2,5|0,5|2,3|3,2|3,4|1,2",m 1 3,"1,3",m 1 3,"1,3",0,0
57,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"2,4","0,4|0,3|2,4",m 2 4,"2,4",m 2 4,"2,4",0,0
58,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"2,2","0,4|3,4|3,5|2,2|3,2|1,6",m 2 2,"2,2",m 2 2,"2,2",0,0
59,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,4","3,2|0,4|3,4|3,3|3,5|3,1|0,3|2,5|1,6|2,1|2,0",m 0 4,"0,4",m 0 4,"0,4",0,0
60,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
61,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"1,6","1,3|1,6|0,4|2,4|0,5|0,3|3,4|2,5",m 1 6,"1,6",m 1 6,"1,6",0,0
62,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"1,3","1,3|0,4|1,8|1,2|2,5|2,6|0,5|0,3|2,4|0,7|0,6",m 1 3,"1,3",m 1 3,"1,3",0,0
63,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,15,"2,4","0,3|0,6|1,8|2,4|0,4|3,5|2,3|0,2|0,5|2,5|1,1|1,0|0,0|2,6|3,4",m 2 4,"2,4",m 2 4,"2,4",0,0
64,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"2,2","3,4|3,5|0,4|2,2|3,2|0,3|2,3|2,5|3,6|1,8|1,0",m 2 2,"2,2",m 2 2,"2,2",0,0
65,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,5,"2,6","2,6|3,7|3,4|2,3|3,5",m 2 6,"2,6",m 2 6,"2,6",0,0
66,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,13,"0,5","0,1|0,5|3,6|3,5|2,3|2,5|3,4|0,6|1,0|1,8|2,7|0,8|3,3",m 0 5,"0,5",m 0 5,"0,5",0,0
67,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"0,4","0,4|1,3|3,4|1,5|2,4|0,3|3,3",m 0 4,"0,4",m 0 4,"0,4",0,0
68,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"0,3","3,4|0,3|0,5|1,3|1,5|3,3|2,3|2,5",m 0 3,"0,3",m 0 3,"0,3",0,0
69,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"1,3","0,2|0,5|1,3|3,3",m 1 3,"1,3",m 1 3,"1,3",0,0
70,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"2,3","2,3|3,2|2,2|3,3|3,1",m 2 3,"2,3",m 2 3,"2,3",0,0
71,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"0,2","1,5|0,6|3,5|3,6|3,2|2,5|0,2|0,1",m 0 2,"0,2",m 0 2,"0,2",0,0
72,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,5","1,2|0,6|1,5|3,5|3,2|0,0|2,2|2,5",m 1 5,"1,5",m 1 5,"1,5",0,0
73,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,15,"3,6","3,2|3,6|2,6|2,5|1,6|0,6|3,7|1,2|2,2|0,0|2,7|2,3|3,4|3,3|2,4",m 3 6,"3,6",m 3 6,"3,6",0,0
74,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"2,4","1,3|1,5|0,4|2,4|3,4|0,3|2,3|2,5|0,0",m 2 4,"2,4",m 2 4,"2,4",0,0
75,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"1,3","1,6|1,3|3,4|2,5|3,5|0,4|2,3",m 1 3,"1,3",m 1 3,"1,3",0,0
76,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"1,7","1,7|0,2|3,5",m 1 7,"1,7",m 1 7,"1,7",0,0
77,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"0,2","2,5|2,3|2,7|3,4|0,6|3,5|0,4|1,2|1,8|3,3|0,2",m 0 2,"0,2",m 0 2,"0,2",0,0
78,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"2,4","2,4|0,4|1,3|1,5|3,4|2,5|0,3|0,0|0,5",m 2 4,"2,4",m 2 4,"2,4",0,0
79,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"3,4","3,4|2,3|2,5|0,3|0,5|3,5|3,3",m 3 4,"3,4",m 3 4,"3,4",0,0
80,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"2,3","2,4|3,3|2,5|3,5|1,3|2,3|3,2|0,3|0,6",m 2 3,"2,3",m 2 3,"2,3",0,0
81,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"0,3","2,5|0,3|0,7|3,3|1,3|3,5|1,5|2,2|1,6",m 0 3,"0,3",m 0 3,"0,3",0,0
82,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
83,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"1,5","0,4|1,3|1,5|3,4|0,3|0,5|3,5",m 1 5,"1,5",m 1 5,"1,5",0,0
84,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"1,6","1,6|2,5|0,5|0,6|1,2|1,7|2,3|3,4|0,4",m 1 6,"1,6",m 1 6,"1,6",0,0
85,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"0,2","0,4|1,8|0,5|2,5|3,6|2,3|0,2|3,5|3,4",m 0 2,"0,2",m 0 2,"0,2",0,0
86,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"3,5","0,3|2,5|0,1|3,5|0,5|0,4|3,6",m 3 5,"3,5",m 3 5,"3,5",0,0
87,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,4,"1,0","1,0|2,5|0,5|1,8",m 1 0,"1,0",m 1 0,"1,0",0,0
88,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,17,"2,6","2,6|2,3|3,4|0,1|2,1|3,1|2,2|1,8|0,5|0,7|3,6|0,6|0,8|2,7|0,3|0,0|2,0",m 2 6,"2,6",m 2 6,"2,6",0,0
89,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,4,"2,2","2,2|3,6|0,6|3,4",m 2 2,"2,2",m 2 2,"2,2",0,0
90,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,4,"3,3","3,3|0,6|0,4|3,6",m 3 3,"3,3",m 3 3,"3,3",0,0
91,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"3,4","3,4|2,7|3,6|0,0|3,7|0,4|3,2|1,8",m 3 4,"3,4",m 3 4,"3,4",0,0
92,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
93,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"1,5","0,4|3,4|1,3|1,5|0,3|3,5|0,5|2,3|2,5|1,0",m 1 5,"1,5",m 1 5,"1,5",0,0
94,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"1,6","1,6|0,4|3,4|3,5|1,2|0,2|2,5|0,3|0,5|1,7|2,3",m 1 6,"1,6",m 1 6,"1,6",0,0
95,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"2,5","3,5|0,2|0,5|2,5|3,3|3,4|2,6|1,8|0,4|2,3|0,6",m 2 5,"2,5",m 2 5,"2,5",0,0
96,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"0,2","3,6|3,4|0,2|0,4|0,5|2,6",m 0 2,"0,2",m 0 2,"0,2",0,0
97,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,5,"0,8","0,5|3,6|2,3|3,4|0,8",m 0 8,"0,8",m 0 8,"0,8",0,0
98,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,3","0,0|0,3|0,4|0,5|0,6|1,0|1,8|2,7|2,3|3,6|3,4",m 0 3,"0,3",m 3 6,"3,6",1,1
99,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,4","0,4|3,4|2,3|0,5|2,7|1,8|0,0|0,1",m 0 4,"0,4",m 0 4,"0,4",0,0
100,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,4","2,4|0,4|2,3|2,5|3,3|3,5|1,4|1,3",m 1 4,"1,4",m 1 4,"1,4",0,0
101,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"3,6","3,6|3,3|2,4|2,5|1,5|0,4|2,3|3,2|0,3|1,6",m 3 6,"3,6",m 3 6,"3,6",0,0
102,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,4,"3,2","1,3|2,5|0,3|3,2",m 3 2,"3,2",m 3 2,"3,2",0,0
103,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,13,"1,5","3,0|3,7|0,0|0,4|1,5|2,3|2,5|2,6|1,3|0,5|0,2|3,1|0,3",m 1 5,"1,5",m 1 5,"1,5",0,0
104,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"0,2","0,2|1,6|3,7",m 0 2,"0,2",m 0 2,"0,2",0,0
105,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,13,"2,2","2,2|2,6|1,2|1,6|0,4|0,1|0,0|3,7|3,0|2,7|0,5|3,1|2,0",m 2 2,"2,2",m 2 6,"2,6",1,1
106,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"0,3","1,4|0,3|0,5|1,3|1,5|3,4|2,4",m 0 3,"0,3",m 0 3,"0,3",0,0
107,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"0,6","1,3|1,4|0,2|0,6|1,2|0,7|0,1",m 0 6,"0,6",m 0 6,"0,6",0,0
108,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"2,3","2,4|2,3|3,2|1,5|0,2|0,7|1,3|2,5|1,6",m 2 3,"2,3",m 2 3,"2,3",0,0
109,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"2,4","3,3|2,4|1,2|1,5|3,4|0,7",m 2 4,"2,4",m 2 4,"2,4",0,0
110,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"3,1","3,3|2,5|1,5|1,2|3,1",m 3 1,"3,1",m 3 1,"3,1",0,0
111,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"1,6","1,2|1,6|2,5|3,3|0,2|0,7|2,1|3,0|3,2|3,4|1,1",m 1 6,"1,6",m 1 6,"1,6",0,0
112,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"3,5","3,5|1,2|3,4|3,3|2,6|2,1|3,0|0,7|3,2|3,6",m 3 5,"3,5",m 3 5,"3,5",0,0
113,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"3,7","1,2|3,7|3,2|3,6|3,4|2,7|3,0|0,7|1,7|3,3|0,2",m 3 7,"3,7",m 3 7,"3,7",0,0
114,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,2,"2,8","2,8|3,6",m 2 8,"2,8",m 2 8,"2,8",0,0
115,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","1,4|2,4|0,4",m 1 4,"1,4",m 1 4,"1,4",0,0
116,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,3","1,3|1,5|0,3|0,5|0,4|3,4|2,5|2,3|3,6|3,5|3,3",m 0 3,"0,3",m 0 3,"0,3",0,0
117,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,13,"1,3","3,6|0,4|2,3|2,6|1,3|3,4|0,2|1,5|2,2|0,5|2,7|3,5|1,2",m 1 3,"1,3",m 2 3,"2,3",1,1
118,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,5,"0,6","1,2|2,3|0,5|3,5|0,6",m 0 6,"0,6",m 0 6,"0,6",0,0
119,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"2,3","2,3|3,3|3,5|0,5|1,6|2,6|0,2|0,4",m 2 3,"2,3",m 2 3,"2,3",0,0
120,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,5","0,5|0,7|1,6|2,6|3,4|0,4|2,2|0,2|3,6|3,5|3,2",m 0 5,"0,5",m 0 5,"0,5",0,0
121,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","0,4|1,4|2,4",m 1 4,"1,4",m 1 4,"1,4",0,0
122,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"1,5","2,4|1,3|1,5|0,3|0,4|2,5|0,5|2,3",m 1 5,"1,5",m 1 5,"1,5",0,0
123,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,10,"2,4","1,6|0,4|2,5|2,4|3,5|2,3|0,5|0,3|1,2|0,1",m 2 4,"2,4",m 2 4,"2,4",0,0
124,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"2,5","0,4|2,5|3,3|0,2|3,5|2,3",m 2 5,"2,5",m 2 5,"2,5",0,0
125,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"2,6","2,6|0,2|3,6|0,6|0,3|3,3|3,5|0,5|0,4|1,7|2,2",m 2 6,"2,6",m 2 6,"2,6",0,0
126,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"0,4","0,4|0,5|3,3|0,3|3,8|3,5|3,6|1,7|2,8",m 0 4,"0,4",m 0 5,"0,5",1,1
