turn_idx_global,file,prune_strategy,n_root_moves,pruned_root,tree_roots,original_move,original_coord,new_move,new_coord,move_changed,new_move_was_in_remaining_roots
11,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,6","3,4|0,3|2,5|0,5|1,3|1,6|0,6|3,3",m 0 6,"0,6",m 0 6,"0,6",0,0
12,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"2,5","0,3|0,7|1,6|3,4|2,3|2,5|0,2|2,6|3,5",m 2 5,"2,5",m 2 5,"2,5",0,0
13,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,3","3,5|2,3|3,4|0,7|1,6|2,6|0,3|3,7|3,3|0,0|1,3",m 0 3,"0,3",m 3 5,"3,5",1,1
14,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"1,3","0,7|3,4|3,7|2,6|0,2|0,8|1,3|2,3",m 1 3,"1,3",m 1 3,"1,3",0,0
15,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"2,3","3,3|3,7|2,3|1,2|0,2|2,2|0,7|1,6|2,6",m 2 3,"2,3",m 2 3,"2,3",0,0
16,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"2,4","2,4|1,3|1,5|0,4|0,3|0,5",m 2 4,"2,4",m 2 4,"2,4",0,0
17,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"1,3","2,3|3,4|3,5|0,4|2,5|1,6|1,3|0,3|0,5|3,2|0,2",m 1 3,"1,3",m 1 3,"1,3",0,0
18,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"2,5","0,4|3,4|0,3|2,3|0,5|0,2|2,5|1,6",m 2 5,"2,5",m 2 5,"2,5",0,0
19,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,3,"1,7","2,3|2,6|1,7",m 1 7,"1,7",m 1 7,"1,7",0,0
20,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"3,2","2,6|3,2|3,4|3,6|0,7|1,8|0,5",m 3 2,"3,2",m 3 2,"3,2",0,0
21,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,12,"0,4","0,4|3,7|0,5|3,6|0,6|1,8|2,7|0,7|3,3|3,1|0,3|2,2",m 0 4,"0,4",m 0 4,"0,4",0,0
22,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"0,6","0,6|2,2|3,7|2,7|3,1",m 0 6,"0,6",m 0 6,"0,6",0,0
23,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"0,5","3,3|3,7|0,5|2,2|1,8|2,7",m 0 5,"0,5",m 0 5,"0,5",0,0
24,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,7,"0,4","0,4|1,3|1,5|0,5|0,3|3,5|2,4",m 0 4,"0,4",m 0 4,"0,4",0,0
25,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,3","0,3|1,3|1,6|2,5|0,5|2,4|3,4|2,2",m 1 3,"1,3",m 1 3,"1,3",0,0
26,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,5,"1,7","1,7|1,8|1,2|2,3|2,2",m 1 7,"1,7",m 1 7,"1,7",0,0
27,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"2,5","0,3|2,5|0,5|1,8|2,7|3,6|2,3|2,4|3,4|1,2",m 2 5,"2,5",m 2 5,"2,5",0,0
28,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"0,5","2,4|0,5|3,2|3,4|0,3|2,1",m 0 5,"0,5",m 0 5,"0,5",0,0
29,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,11,"0,3","2,0|2,4|3,5|1,8|0,3|0,6|1,2|1,0|2,6|3,4|3,3",m 0 3,"0,3",m 0 3,"0,3",0,0
30,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,3,"1,4","1,4|2,4|0,4",m 1 4,"1,4",m 1 4,"1,4",0,0
31,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,4","2,4|2,3|2,5|1,5|3,4|0,3|1,3",m 2 4,"2,4",m 2 4,"2,4",0,0
32,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,2","3,4|1,5|2,5|2,3|2,2|3,1|3,2",m 2 2,"2,2",m 2 2,"2,2",0,0
34,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"3,3","3,3|2,1|2,5|3,2|3,5|1,5",m 3 3,"3,3",m 3 3,"3,3",0,0
35,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,12,"0,5","0,1|0,5|3,2|3,5|2,5|1,5|1,2|1,1|0,0|0,6|3,3|2,4",m 0 5,"0,5",m 0 5,"0,5",0,0
36,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"0,5","0,3|0,5|2,4|1,5|2,3|3,4|2,5|1,3",m 0 5,"0,5",m 0 5,"0,5",0,0
37,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,6,"2,5","0,6|1,5|2,4|2,5|1,3|3,6",m 2 5,"2,5",m 2 5,"2,5",0,0
38,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,11,"0,6","0,6|1,6|0,3|0,2|3,5|2,6|2,4|1,3|0,7|3,6|3,4",m 0 6,"0,6",m 0 6,"0,6",0,0
39,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,9,"1,6","1,6|3,6|3,5|1,3|0,8|2,6|2,4|1,7|3,4",m 1 6,"1,6",m 1 6,"1,6",0,0
40,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,2,"1,2","2,7|1,2",m 1 2,"1,2",m 1 2,"1,2",0,0
41,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,8,"3,3","3,3|2,7|2,4|3,4|3,5|0,8|1,7|2,6",m 3 3,"3,3",m 3 3,"3,3",0,0
42,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,7,"2,6","2,6|3,6|2,7|3,4|1,7|3,5|0,8",m 2 6,"2,6",m 2 6,"2,6",0,0
43,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(0)-log.jsonl,chosen,13,"2,7","0,8|0,2|0,1|0,0|1,0|1,7|2,7|3,4|3,5|3,8|2,2|3,7|2,8",m 2 7,"2,7",m 2 7,"2,7",0,0
44,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"2,4","2,4|3,3|3,5|1,4|0,3|0,5|0,4|2,3",m 2 4,"2,4",m 1 4,"1,4",1,1
45,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,10,"2,3","2,3|2,5|1,5|1,4|0,4|3,5|3,2|2,2|0,3|1,3",m 2 3,"2,3",m 2 3,"2,3",0,0
46,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,6,"3,2","3,2|3,6|2,5|2,2|1,3|1,4",m 3 2,"3,2",m 3 2,"3,2",0,0
47,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"0,4","2,4|3,3|3,5|0,4|1,4|2,3|0,5|0,3",m 0 4,"0,4",m 0 4,"0,4",0,0
48,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,8,"1,4","1,4|0,3|0,5|1,3|1,5|2,3|2,5|3,3",m 1 4,"1,4",m 1 4,"1,4",0,0
49,vertex-qwen-qwen3-next-80b-a3b-thinking-maas(1)-log.jsonl,chosen,9,"1,6","2,3|2,6|1,6|0,7|0,5|3,5|1,5|0,3|3,3",m 1 6,"1,6",m 1 6,"1,6",0,0
